Date,Stock,Action,Shares,Price,Cost,Cash_After
2025-06-25,AAPL,BUY,4,201.33151245117188,805.3260498046875,9194.673950195312
2025-06-25,MSFT,BUY,1,491.4620666503906,491.4620666503906,8703.211883544922
2025-06-25,NVDA,BUY,6,154.30130004882812,925.8078002929688,7777.404083251953
2025-06-25,GOOGL,BUY,5,170.52748107910156,852.6374053955078,6924.766677856445
2025-06-25,META,BUY,1,708.2020263671875,708.2020263671875,6216.564651489258
2025-06-25,JNJ,BUY,6,151.17039489746094,907.0223693847656,5309.542282104492
2025-06-25,UNH,BUY,3,300.12652587890625,900.3795776367188,4409.162704467773
2025-06-25,PFE,BUY,39,23.84848976135254,930.091100692749,3479.0716037750244
2025-06-25,ABBV,BUY,5,182.48692321777344,912.4346160888672,2566.636987686157
2025-06-25,LLY,BUY,1,790.5635986328125,790.5635986328125,1776.0733890533447
2025-07-17,PFE,BUY,1,24.163061141967773,24.163061141967773,1751.910327911377
2025-07-31,PFE,BUY,1,23.290000915527344,23.290000915527344,1728.6203269958496
2025-08-07,UNH,BUY,1,243.13607788085938,243.13607788085938,1485.4842491149902
2025-08-21,MSFT,BUY,1,504.239990234375,504.239990234375,981.2442588806152
2025-09-12,PFE,BUY,3,23.8700008392334,71.6100025177002,909.634256362915
2025-09-26,PFE,BUY,1,23.760000228881836,23.760000228881836,885.8742561340332
