date,ticker,action,shares,price,value
2024-12-03,BRK-B,BUY,4.18061,478.3991,2000.0
2024-12-03,JPM,BUY,8.302862,240.8808,2000.0
2024-12-03,ORCL,BUY,11.211446,178.3891,2000.0
2024-12-03,TSLA,BUY,5.682207,351.9759,2000.0
2024-12-03,UNH,BUY,3.392109,589.6037,2000.0
2024-12-17,AVGO,BUY,2.10338,237.4784,499.51
2024-12-17,BRK-B,SELL,4.18061,454.4727,1899.97
2024-12-17,HD,BUY,6.709268,397.5689,2667.4
2024-12-17,JPM,SELL,8.302862,231.353,1920.89
2024-12-17,ORCL,SELL,0.057819,167.9518,9.71
2024-12-17,TSLA,SELL,3.426532,475.662,1629.87
2024-12-17,UNH,BUY,4.824301,471.8643,2276.42
2025-01-02,AMZN,BUY,8.141858,222.141,1808.64
2025-01-02,AVGO,BUY,0.603299,233.6719,140.97
2025-01-02,GOOGL,BUY,15.513537,189.8675,2945.52
2025-01-02,HD,SELL,6.709268,379.8606,2548.59
2025-01-02,ORCL,SELL,11.153627,165.7583,1848.81
2025-01-02,TSLA,SELL,0.999744,389.905,389.81
2025-01-02,UNH,SELL,0.249369,491.7196,122.62
2025-01-17,AAPL,BUY,14.342697,230.9743,3312.79
2025-01-17,AMZN,SELL,8.141858,225.7271,1837.84
2025-01-17,AVGO,SELL,2.706679,234.3478,634.3
2025-01-17,BRK-B,BUY,6.563017,464.9423,3051.42
2025-01-17,GOOGL,SELL,15.513537,195.5278,3033.33
2025-01-17,MA,BUY,0.948331,520.9341,494.02
2025-01-17,TSLA,SELL,1.255931,421.2892,529.11
2025-01-17,UNH,SELL,5.341725,489.4159,2614.33
2025-01-17,WMT,BUY,19.078988,91.0558,1737.25
2025-02-03,AAPL,SELL,14.342697,228.6261,3279.11
2025-02-03,AVGO,BUY,2.369342,213.19,505.12
2025-02-03,BRK-B,SELL,6.563017,461.0693,3026.01
2025-02-03,MA,BUY,6.431365,548.7992,3529.53
2025-02-03,MSFT,BUY,9.907732,407.8594,4040.96
2025-02-03,NVDA,BUY,6.270143,114.7698,719.62
