start,end,n_days,WF_Sharpe,WF_Total_Return,WF_Ann_Return,WF_Max_Drawdown,FX_Sharpe,FX_Total_Return,FX_Ann_Return,FX_Max_Drawdown,SPY_Sharpe,SPY_Total_Return,WF_beats_spy,FX_beats_spy,WF_beats_FX
2024-12-02,2025-12-02,251,1.2419,0.2576,0.2599,-0.1422,1.2419,0.2576,0.2599,-0.1422,0.73,0.1428,True,True,False
2024-12-09,2025-12-09,251,1.3769,0.2689,0.2713,-0.0971,1.3769,0.2689,0.2713,-0.0971,0.7012,0.1374,True,True,False
2024-12-16,2025-12-16,251,1.0336,0.2184,0.2203,-0.1422,1.0336,0.2184,0.2203,-0.1422,0.6996,0.1372,True,True,False
2024-12-23,2025-12-23,251,1.4885,0.3001,0.3028,-0.0971,1.4885,0.3001,0.3028,-0.0971,0.9141,0.1774,True,True,False
2024-12-31,2025-12-31,251,1.4385,0.2947,0.2974,-0.1422,1.4385,0.2947,0.2974,-0.1422,0.8945,0.1729,True,True,False
2025-01-08,2026-01-08,251,1.6154,0.3171,0.32,-0.0971,1.6154,0.3171,0.32,-0.0971,0.9611,0.1851,True,True,False
2025-01-16,2026-01-16,252,1.1184,0.2277,0.2287,-0.1456,1.1184,0.2277,0.2287,-0.1456,0.941,0.1805,True,True,False
2025-01-24,2026-01-24,251,1.4486,0.2816,0.2842,-0.0979,1.4486,0.2816,0.2842,-0.0979,0.7467,0.1436,True,True,False
2025-01-31,2026-01-31,251,0.9731,0.1998,0.2016,-0.1597,0.9731,0.1998,0.2016,-0.1597,0.82,0.1571,True,True,False
2025-02-07,2026-02-07,251,1.753,0.3399,0.343,-0.0985,1.753,0.3399,0.343,-0.0985,0.7901,0.1524,True,True,False
2025-02-14,2026-02-14,251,0.3753,0.078,0.0786,-0.1854,0.3753,0.078,0.0786,-0.1854,0.68,0.1312,False,False,False
2025-02-24,2026-02-24,252,1.7146,0.3318,0.3333,-0.0968,1.7146,0.3318,0.3333,-0.0968,0.824,0.1592,True,True,False
