date,ticker,action,shares,price,value
2024-12-03,BRK-B,BUY,4.18061,478.3991,2000.0
2024-12-03,JPM,BUY,8.302861,240.8808,2000.0
2024-12-03,ORCL,BUY,11.211446,178.3891,2000.0
2024-12-03,TSLA,BUY,5.682207,351.9759,2000.0
2024-12-03,UNH,BUY,3.392109,589.6037,2000.0
2024-12-04,BRK-B,STOP,4.18061,468.5967,1959.02
2024-12-04,JPM,STOP,8.302861,235.9452,1959.02
2024-12-05,UNH,STOP,3.392109,577.5227,1959.02
2024-12-10,ORCL,STOP,11.211446,174.7339,1959.02
2024-12-17,AVGO,BUY,2.407556,237.4784,571.74
2024-12-17,HD,BUY,4.102443,397.5688,1631.0
2024-12-17,ORCL,BUY,14.77878,168.1198,2484.61
2024-12-17,TSLA,SELL,2.333719,475.662,1110.06
2024-12-17,UNH,BUY,8.872749,471.8643,4186.73
2024-12-18,AVGO,STOP,2.407556,232.6124,560.03
2024-12-18,HD,STOP,4.102443,389.4226,1597.58
2024-12-18,ORCL,STOP,14.77878,164.675,2433.7
2024-12-18,TSLA,STOP,3.348488,466.3819,1561.67
2025-01-02,AMZN,BUY,5.714121,222.141,1269.34
2025-01-02,AVGO,BUY,5.480992,233.6719,1280.75
2025-01-02,GOOGL,BUY,14.208435,189.8675,2697.72
2025-01-02,TSLA,BUY,2.805494,390.2951,1094.97
2025-01-02,UNH,SELL,0.273289,491.7196,134.38
2025-01-03,AVGO,STOP,5.480992,228.884,1254.51
2025-01-03,TSLA,STOP,2.805494,382.2979,1072.53
2025-01-10,AMZN,STOP,5.714121,217.5893,1243.33
2025-01-17,AAPL,BUY,17.023104,230.9743,3931.9
2025-01-17,BRK-B,BUY,6.671042,464.9423,3101.65
2025-01-17,GOOGL,SELL,14.208435,195.5278,2778.14
2025-01-17,UNH,SELL,5.670614,489.4159,2775.29
2025-01-17,V,BUY,1.852373,314.7694,583.07
2025-01-17,WMT,BUY,16.659881,91.0558,1516.98
2025-01-21,AAPL,STOP,17.023104,226.2417,3851.34
2025-01-22,BRK-B,STOP,6.671042,455.4157,3038.1
2025-02-03,AVGO,BUY,2.497404,213.19,532.42
2025-02-03,MA,BUY,4.787796,548.799,2627.54
2025-02-03,MSFT,BUY,10.443242,407.8593,4259.37
2025-02-03,NVDA,BUY,14.360397,114.7698,1648.14
2025-02-03,ORCL,BUY,9.814695,161.081,1580.96
2025-02-03,UNH,SELL,2.928847,524.6301,1536.56
2025-02-03,V,SELL,1.852373,336.739,623.77
2025-02-03,WMT,SELL,16.659881,95.6084,1592.82
2025-02-18,AVGO,SELL,2.497404,227.4482,568.03
2025-02-18,BRK-B,BUY,4.753448,480.6402,2284.7
2025-02-18,MA,SELL,1.817904,560.4132,1018.78
2025-02-18,MSFT,SELL,5.324214,403.888,2150.39
2025-02-18,NVDA,SELL,14.360397,141.1531,2027.01
2025-02-18,ORCL,SELL,5.904447,174.2807,1029.03
2025-02-18,PG,BUY,28.072373,159.0665,4465.37
2025-02-21,ORCL,STOP,3.910249,170.8805,668.19
2025-02-25,MA,STOP,2.969892,549.4795,1631.9
2025-02-25,MSFT,STOP,5.119028,396.0081,2027.18
2025-03-04,BRK-B,BUY,3.740509,507.5236,1898.4
2025-03-04,GOOGL,BUY,6.764176,165.5577,1119.86
2025-03-04,NVDA,BUY,8.608106,110.6691,952.65
2025-03-04,PG,SELL,28.072373,171.943,4826.85
2025-03-04,WMT,BUY,25.087632,94.7051,2375.93
2025-03-04,XOM,BUY,27.537318,102.8783,2832.99
2025-03-05,BRK-B,STOP,8.493957,497.1245,4222.55
2025-03-05,XOM,STOP,27.537318,100.7704,2774.95
2025-03-07,NVDA,STOP,8.608106,108.4015,933.13
2025-03-07,WMT,STOP,25.087632,92.7646,2327.24
2025-03-11,GOOGL,STOP,6.764176,162.1655,1096.92
2025-03-18,AAPL,BUY,4.431589,213.3373,945.42
2025-03-18,BRK-B,BUY,8.652217,525.7127,4548.58
2025-03-18,PG,BUY,13.417815,165.6103,2222.13
2025-03-18,V,BUY,4.228007,332.9657,1407.78
2025-03-18,WMT,BUY,25.990077,86.4768,2247.54
2025-03-19,WMT,STOP,25.990077,84.7049,2201.49
2025-03-20,PG,STOP,13.417815,162.2169,2176.6
2025-04-01,AAPL,SELL,4.431589,218.7467,969.4
2025-04-01,BRK-B,SELL,8.652217,531.6141,4599.64
2025-04-01,GOOGL,BUY,10.425312,153.1657,1596.8
2025-04-01,MA,BUY,5.827342,542.9997,3164.24
2025-04-01,MSFT,BUY,5.496649,371.9895,2044.7
2025-04-01,V,BUY,5.144441,348.0107,1790.32
2025-04-01,WMT,BUY,15.559482,86.8134,1350.77
2025-04-02,V,STOP,9.372448,340.88,3194.88
2025-04-03,GOOGL,STOP,10.425312,150.0273,1564.08
2025-04-03,MA,STOP,5.827342,531.8736,3099.41
2025-04-04,MSFT,STOP,5.496649,364.3675,2002.8
2025-04-04,WMT,STOP,15.559482,85.0346,1323.09
2025-04-15,BRK-B,BUY,6.989987,532.8863,3724.87
2025-04-15,JNJ,BUY,15.361442,151.5552,2328.11
2025-04-15,JPM,BUY,6.589099,231.7117,1526.77
2025-04-15,MA,BUY,3.717752,510.6405,1898.43
2025-04-15,V,BUY,5.10119,334.3858,1705.77
2025-04-16,BRK-B,STOP,6.989987,521.9675,3648.55
2025-04-16,JNJ,STOP,15.361442,148.4499,2280.4
2025-04-16,JPM,STOP,6.589099,226.9639,1495.49
2025-04-16,V,STOP,5.10119,327.5342,1670.81
2025-04-30,BRK-B,BUY,5.018029,531.7758,2668.47
2025-04-30,JPM,BUY,4.498455,236.7268,1064.9
2025-04-30,MA,SELL,1.262722,535.0999,675.68
2025-04-30,PG,BUY,25.508897,159.1761,4060.41
2025-04-30,V,BUY,5.952275,332.1216,1976.88
2025-05-01,PG,STOP,25.508897,155.9146,3977.21
2025-05-05,BRK-B,STOP,5.018029,520.8797,2613.79
2025-05-14,BRK-B,BUY,3.933912,512.1059,2014.58
2025-05-14,JNJ,BUY,13.671015,144.7124,1978.36
2025-05-14,JPM,SELL,4.498455,257.8538,1159.94
2025-05-14,LLY,BUY,3.652553,744.1052,2717.88
2025-05-14,MA,SELL,2.45503,574.5869,1410.63
2025-05-14,MSFT,BUY,1.955136,444.9577,869.95
2025-05-14,UNH,BUY,11.782391,312.7906,3685.42
2025-05-14,V,SELL,5.952275,354.4311,2109.67
2025-05-15,BRK-B,STOP,3.933912,501.6129,1973.3
2025-05-15,LLY,STOP,3.652553,728.8584,2662.19
2025-05-15,UNH,STOP,11.782391,306.3815,3609.91
2025-05-29,BRK-B,BUY,5.945531,504.252,2998.05
2025-05-29,JNJ,SELL,2.06084,148.8278,306.71
2025-05-29,LLY,BUY,3.085638,715.765,2208.59
2025-05-29,MSFT,BUY,1.324577,459.1137,608.13
2025-05-29,UNH,BUY,9.49369,288.8046,2741.82
2025-06-03,BRK-B,STOP,5.945531,493.9199,2936.62
2025-06-12,JNJ,SELL,11.610174,153.2313,1779.04
2025-06-12,LLY,SELL,3.085638,805.6201,2485.85
2025-06-12,MA,BUY,4.178788,586.2618,2449.86
2025-06-12,META,BUY,4.146487,691.4894,2867.25
2025-06-12,MSFT,SELL,3.279713,472.0404,1548.16
2025-06-12,ORCL,BUY,3.08123,188.1671,579.79
2025-06-12,TSLA,BUY,4.171358,323.2415,1348.36
2025-06-12,UNH,BUY,4.863751,303.0113,1473.77
2025-06-13,MA,STOP,4.178788,574.2493,2399.67
2025-06-13,TSLA,STOP,4.171358,316.6183,1320.73
2025-06-20,META,STOP,4.146487,677.3208,2808.5
2025-06-20,UNH,STOP,14.357441,296.8026,4261.33
2025-06-27,MA,BUY,8.436105,543.8311,4587.82
2025-06-27,META,BUY,0.790806,725.1802,573.48
2025-06-27,ORCL,SELL,0.369262,211.4616,78.08
2025-06-27,V,BUY,13.307316,344.759,4587.82
2025-06-27,XOM,BUY,10.687177,107.3206,1146.95
2025-06-30,XOM,STOP,10.687177,105.1216,1123.45
2025-07-11,META,STOP,0.790806,710.3212,561.73
2025-07-14,AMZN,BUY,2.547435,225.1825,573.64
2025-07-14,MA,SELL,0.014899,547.7339,8.16
2025-07-14,ORCL,BUY,5.056956,227.7674,1151.81
2025-07-14,UNH,BUY,1.940603,295.5978,573.64
2025-07-14,V,SELL,1.748172,345.2094,603.49
2025-07-15,UNH,STOP,1.940603,289.541,561.88
2025-07-28,AMZN,SELL,2.547435,233.2333,594.15
2025-07-28,JNJ,BUY,28.877444,164.7923,4758.78
2025-07-28,MA,SELL,8.421207,564.5191,4753.93
2025-07-28,MSFT,BUY,5.842017,511.3665,2987.41
2025-07-28,ORCL,SELL,0.556555,243.9519,135.77
2025-07-28,TSLA,BUY,4.565767,318.6092,1454.7
2025-07-28,UNH,BUY,3.376821,277.8212,938.15
2025-07-28,V,SELL,11.559144,354.143,4093.59
2025-07-29,UNH,STOP,3.376821,272.1286,918.93
2025-07-30,TSLA,STOP,4.565767,312.0809,1424.89
2025-07-31,JNJ,STOP,28.877444,161.4157,4661.27
2025-08-11,BRK-B,BUY,1.265361,466.6932,590.54
2025-08-11,JNJ,BUY,17.841852,170.231,3037.24
2025-08-11,LLY,BUY,7.54211,626.3877,4724.28
2025-08-11,MSFT,SELL,1.64489,519.0237,853.74
2025-08-11,ORCL,SELL,7.212369,246.3319,1776.64
2025-08-11,XOM,BUY,12.271955,104.558,1283.13
2025-08-19,MSFT,STOP,4.197127,508.8976,2135.91
2025-08-25,BRK-B,SELL,1.265361,488.7655,618.47
2025-08-25,GOOGL,BUY,8.377172,206.0687,1726.27
2025-08-25,JNJ,SELL,17.841852,176.063,3141.29
2025-08-25,LLY,SELL,4.952607,708.42,3508.53
2025-08-25,META,BUY,2.506435,753.428,1888.42
2025-08-25,UNH,BUY,8.109165,302.3106,2451.49
2025-08-25,WMT,BUY,48.39245,96.6527,4677.26
2025-08-25,XOM,SELL,12.271955,109.1559,1339.56
2025-08-26,UNH,STOP,8.109165,296.1163,2401.26
2025-08-29,META,STOP,2.506435,737.9902,1849.72
2025-09-09,BRK-B,BUY,1.320931,492.6962,650.82
2025-09-09,GOOGL,SELL,8.377172,233.7354,1958.04
2025-09-09,HD,BUY,9.724469,412.8804,4015.04
2025-09-09,JPM,BUY,8.872009,288.545,2559.97
2025-09-09,LLY,SELL,2.589503,731.5159,1894.26
2025-09-09,TSLA,BUY,1.866871,348.6142,650.82
2025-09-09,UNH,BUY,15.77371,325.8397,5139.7
2025-09-09,WMT,SELL,48.39245,101.5332,4913.44
2025-09-23,AMZN,BUY,9.580479,227.9439,2183.81
2025-09-23,AVGO,BUY,10.499267,339.0488,3559.76
2025-09-23,BRK-B,SELL,1.320931,493.5231,651.91
2025-09-23,GOOGL,BUY,11.723082,252.8231,2963.87
2025-09-23,HD,SELL,9.724469,406.4305,3952.32
2025-09-23,JPM,SELL,8.872009,307.1913,2725.4
2025-09-23,NVDA,BUY,10.24741,182.041,1865.45
2025-09-23,ORCL,BUY,8.942733,321.624,2876.2
2025-09-23,TSLA,SELL,1.866871,439.6601,820.79
2025-09-23,UNH,SELL,15.77371,335.9415,5299.04
2025-09-24,AMZN,STOP,9.580479,223.2733,2139.07
2025-09-24,GOOGL,STOP,11.723082,247.6427,2903.14
2025-09-24,NVDA,STOP,10.24741,178.311,1827.23
2025-09-24,ORCL,STOP,8.942733,315.0339,2817.26
2025-09-25,AVGO,STOP,10.499267,332.1017,3486.82
2025-10-07,META,BUY,2.571128,716.8799,1843.19
2025-10-07,ORCL,BUY,17.080689,291.0697,4971.67
2025-10-07,TSLA,BUY,2.426241,448.0439,1087.06
2025-10-07,V,BUY,9.194408,348.8234,3207.22
2025-10-07,XOM,BUY,18.364835,112.3884,2063.99
2025-10-08,ORCL,STOP,17.080689,285.1057,4869.8
2025-10-08,TSLA,STOP,2.426241,438.8635,1064.79
2025-10-10,XOM,STOP,18.364835,110.0855,2021.7
2025-10-13,V,STOP,9.194408,341.676,3141.51
2025-10-14,META,STOP,2.571128,702.191,1805.42
2025-10-21,AAPL,BUY,15.724915,261.5125,4112.26
2025-10-21,LLY,BUY,1.546109,804.8063,1244.32
2025-10-21,ORCL,BUY,18.66263,276.5496,5161.14
2025-10-21,TSLA,BUY,1.867003,445.9829,832.65
2025-10-21,V,BUY,4.540643,341.9079,1552.48
2025-10-22,AAPL,STOP,15.724915,256.1541,4028.0
2025-10-22,ORCL,STOP,18.66263,270.8831,5055.39
2025-10-22,TSLA,STOP,1.867003,436.8447,815.59
2025-11-03,V,STOP,4.540643,334.9022,1520.67
2025-11-04,LLY,SELL,1.546109,888.1753,1373.22
2025-11-04,META,BUY,8.157123,627.3048,5117.0
2025-11-04,MSFT,BUY,3.327475,509.8956,1696.66
2025-11-04,ORCL,BUY,4.15837,248.5774,1033.68
2025-11-04,V,BUY,5.914994,335.2913,1983.25
2025-11-04,WMT,BUY,29.105639,101.7643,2961.92
2025-11-06,MSFT,STOP,3.327475,499.4478,1661.9
2025-11-06,ORCL,STOP,4.15837,243.4841,1012.5
2025-11-06,WMT,STOP,29.105639,99.6792,2901.23
2025-11-07,META,STOP,8.157123,614.4514,5012.16
2025-11-14,V,STOP,5.914994,328.4212,1942.61
2025-11-18,AMZN,BUY,15.391761,228.2141,3512.62
2025-11-18,BRK-B,BUY,5.442075,503.6417,2740.86
2025-11-18,GOOGL,BUY,9.004256,287.6732,2590.28
