date,ticker,action,shares,price,value
2024-12-03,BRK-B,BUY,4.18061,478.3991,2000.0
2024-12-03,JPM,BUY,8.302861,240.8808,2000.0
2024-12-03,ORCL,BUY,11.211446,178.3891,2000.0
2024-12-03,TSLA,BUY,5.682207,351.9759,2000.0
2024-12-03,UNH,BUY,3.392109,589.6037,2000.0
2024-12-17,AVGO,BUY,2.297909,237.4784,545.7
2024-12-17,BRK-B,SELL,4.18061,454.4727,1899.97
2024-12-17,HD,BUY,3.915607,397.5688,1556.72
2024-12-17,JPM,SELL,8.302861,231.353,1920.89
2024-12-17,ORCL,BUY,2.894267,168.1198,486.58
2024-12-17,TSLA,SELL,2.486219,475.662,1182.6
2024-12-17,UNH,BUY,5.07655,471.8643,2395.44
2025-01-02,AMZN,BUY,5.283459,222.141,1173.67
2025-01-02,AVGO,BUY,2.769991,233.6719,647.27
2025-01-02,GOOGL,BUY,13.137574,189.8675,2494.4
2025-01-02,HD,SELL,3.915607,379.8606,1487.38
2025-01-02,ORCL,SELL,14.105713,165.7583,2338.14
2025-01-02,TSLA,SELL,0.599343,389.905,233.69
2025-01-02,UNH,SELL,0.517323,491.7196,254.38
2025-01-17,AAPL,BUY,15.886733,230.9743,3669.43
2025-01-17,AMZN,SELL,5.283459,225.7271,1192.62
2025-01-17,AVGO,SELL,5.0679,234.3478,1187.65
2025-01-17,BRK-B,BUY,6.225719,464.9423,2894.6
2025-01-17,GOOGL,SELL,13.137574,195.5278,2568.76
2025-01-17,TSLA,SELL,2.596645,421.2892,1093.94
2025-01-17,UNH,SELL,5.218004,489.4159,2553.77
2025-01-17,V,BUY,1.728718,314.7694,544.15
2025-01-17,WMT,BUY,15.547757,91.0558,1415.71
2025-02-03,AAPL,SELL,15.886733,228.6261,3632.12
2025-02-03,AVGO,BUY,2.367498,213.19,504.73
2025-02-03,BRK-B,SELL,6.225719,461.0693,2870.49
2025-02-03,MA,BUY,4.538753,548.799,2490.86
2025-02-03,MSFT,BUY,9.900023,407.8593,4037.82
2025-02-03,NVDA,BUY,13.613422,114.7698,1562.41
2025-02-03,ORCL,BUY,9.304171,161.081,1498.73
2025-02-03,UNH,SELL,2.733332,524.6301,1433.99
2025-02-03,V,SELL,1.728718,336.739,582.13
2025-02-03,WMT,SELL,15.547757,95.6084,1486.5
2025-02-18,AVGO,SELL,2.367498,227.4482,538.48
2025-02-18,BRK-B,BUY,4.506191,480.6402,2165.86
2025-02-18,MA,SELL,1.723343,560.4132,965.78
2025-02-18,MSFT,SELL,5.047268,403.888,2038.53
2025-02-18,NVDA,SELL,13.613422,141.1531,1921.58
2025-02-18,ORCL,SELL,5.597319,174.2807,975.5
2025-02-18,PG,BUY,26.612152,159.0665,4233.1
2025-03-04,BRK-B,BUY,3.50895,507.5236,1780.88
2025-03-04,GOOGL,BUY,6.369115,165.5577,1054.46
2025-03-04,MA,SELL,2.81541,565.929,1593.32
2025-03-04,MSFT,SELL,4.852755,380.2969,1845.49
2025-03-04,NVDA,BUY,8.10535,110.6691,897.01
2025-03-04,ORCL,SELL,3.706852,156.9956,581.96
2025-03-04,PG,SELL,26.612152,171.943,4575.77
2025-03-04,WMT,BUY,23.62239,94.7051,2237.16
2025-03-04,XOM,BUY,25.929002,102.8783,2667.53
2025-03-18,AAPL,BUY,4.324751,213.3373,922.63
2025-03-18,BRK-B,BUY,0.428485,525.7127,225.26
2025-03-18,GOOGL,SELL,6.369115,163.0328,1038.37
2025-03-18,NVDA,SELL,8.10535,117.9132,955.73
2025-03-18,PG,BUY,13.094334,165.6103,2168.56
2025-03-18,V,BUY,4.126077,332.9657,1373.84
2025-03-18,WMT,BUY,1.74111,86.4768,150.57
2025-03-18,XOM,SELL,25.929002,110.245,2858.54
2025-04-01,AAPL,SELL,4.324751,218.7467,946.03
2025-04-01,BRK-B,SELL,8.443627,531.6141,4488.75
2025-04-01,GOOGL,BUY,10.270972,153.1657,1573.16
2025-04-01,MA,BUY,5.741071,542.9997,3117.4
2025-04-01,MSFT,BUY,5.415275,371.9895,2014.43
2025-04-01,PG,SELL,13.094334,165.9311,2172.76
2025-04-01,V,BUY,5.111868,348.0107,1778.98
2025-04-01,WMT,SELL,9.974202,86.7267,865.03
2025-04-15,BRK-B,BUY,6.972191,532.8863,3715.39
2025-04-15,GOOGL,SELL,10.270972,158.5009,1627.96
2025-04-15,JNJ,BUY,15.322332,151.5552,2322.18
2025-04-15,JPM,BUY,6.572323,231.7117,1522.88
2025-04-15,MA,SELL,2.029074,510.1301,1035.09
2025-04-15,MSFT,SELL,5.415275,385.3656,2086.86
2025-04-15,V,SELL,4.144652,334.0516,1384.53
2025-04-15,WMT,SELL,15.389298,93.939,1445.66
2025-04-30,BRK-B,SELL,1.821257,531.2443,967.53
2025-04-30,JNJ,SELL,15.322332,153.8348,2357.11
2025-04-30,JPM,SELL,1.954725,236.4901,462.27
2025-04-30,MA,SELL,1.195819,535.0999,639.88
2025-04-30,PG,BUY,25.848451,159.1761,4114.46
2025-04-30,V,BUY,0.998552,332.1216,331.64
2025-05-14,BRK-B,SELL,1.15042,511.5941,588.55
2025-05-14,JNJ,BUY,13.867564,144.7124,2006.81
2025-05-14,JPM,SELL,4.617598,257.8538,1190.67
2025-05-14,LLY,BUY,3.705066,744.1052,2756.96
2025-05-14,MA,SELL,2.516178,574.5869,1445.76
2025-05-14,MSFT,BUY,1.983245,444.9577,882.46
2025-05-14,PG,SELL,25.848451,154.7785,4000.79
2025-05-14,UNH,BUY,11.951787,312.7906,3738.41
2025-05-14,V,SELL,6.091845,354.4311,2159.14
2025-05-29,BRK-B,BUY,1.884717,504.252,950.37
2025-05-29,JNJ,SELL,2.338941,148.8278,348.1
2025-05-29,LLY,SELL,0.637479,715.0496,455.83
2025-05-29,MSFT,BUY,1.260553,459.1137,578.74
2025-05-29,UNH,SELL,2.513636,288.5159,725.22
2025-06-12,BRK-B,SELL,5.885231,485.9969,2860.2
2025-06-12,JNJ,SELL,11.528622,153.2313,1766.55
2025-06-12,LLY,SELL,3.067586,805.6201,2471.31
2025-06-12,MA,BUY,4.13399,586.2618,2423.6
2025-06-12,META,BUY,4.102035,691.4894,2836.51
2025-06-12,MSFT,SELL,3.243799,472.0404,1531.2
2025-06-12,ORCL,BUY,3.048198,188.1671,573.57
2025-06-12,TSLA,BUY,4.12664,323.2415,1333.9
2025-06-12,UNH,BUY,4.765372,303.0113,1443.96
2025-06-27,MA,BUY,4.272134,543.8311,2323.32
2025-06-27,META,SELL,3.313251,724.4553,2400.3
2025-06-27,ORCL,SELL,0.345868,211.4616,73.14
2025-06-27,TSLA,SELL,4.12664,324.3478,1338.47
2025-06-27,UNH,SELL,14.203523,296.5849,4212.55
2025-06-27,V,BUY,13.260023,344.759,4571.51
2025-06-27,XOM,BUY,10.649196,107.3206,1142.88
2025-07-14,AMZN,BUY,2.559567,225.1825,576.37
2025-07-14,MA,BUY,0.039714,548.2819,21.77
2025-07-14,META,SELL,0.788784,715.5607,564.42
2025-07-14,ORCL,BUY,5.101298,227.7674,1161.91
2025-07-14,UNH,BUY,1.949844,295.5978,576.37
2025-07-14,V,SELL,1.655236,345.2094,571.4
2025-07-14,XOM,SELL,10.649196,112.3721,1196.67
2025-07-28,AMZN,SELL,2.559567,233.2333,596.98
2025-07-28,JNJ,BUY,28.930322,164.7923,4767.49
2025-07-28,MA,SELL,8.445838,564.5191,4767.84
2025-07-28,MSFT,BUY,5.852714,511.3665,2992.88
2025-07-28,ORCL,SELL,0.581391,243.9519,141.83
2025-07-28,TSLA,BUY,4.574127,318.6092,1457.36
2025-07-28,UNH,BUY,1.433989,277.8212,398.39
2025-07-28,V,SELL,11.604787,354.143,4109.75
2025-08-11,BRK-B,BUY,1.295207,466.6932,604.46
2025-08-11,JNJ,SELL,10.649372,170.0609,1811.04
2025-08-11,LLY,BUY,7.720002,626.3877,4835.71
2025-08-11,MSFT,SELL,1.562281,519.0237,810.86
2025-08-11,ORCL,SELL,7.222237,246.3319,1779.07
2025-08-11,TSLA,SELL,4.574127,334.8325,1531.57
2025-08-11,UNH,SELL,3.383833,248.536,841.0
2025-08-11,XOM,BUY,12.561407,104.558,1313.4
2025-08-25,BRK-B,SELL,1.295207,488.7655,633.05
2025-08-25,GOOGL,BUY,8.574528,206.0687,1766.94
2025-08-25,JNJ,SELL,18.28095,176.063,3218.6
2025-08-25,LLY,SELL,5.068601,708.42,3590.7
2025-08-25,META,BUY,2.565484,753.428,1932.91
2025-08-25,MSFT,SELL,4.290433,504.2797,2163.58
2025-08-25,UNH,BUY,8.300207,302.3106,2509.24
2025-08-25,WMT,BUY,49.532518,96.6527,4787.45
2025-08-25,XOM,SELL,12.561407,109.1559,1371.15
2025-09-09,BRK-B,BUY,1.373155,492.6962,676.55
2025-09-09,GOOGL,SELL,8.574528,233.7354,2004.17
2025-09-09,HD,BUY,10.108938,412.8804,4173.78
2025-09-09,JPM,BUY,9.222775,288.545,2661.19
2025-09-09,LLY,SELL,2.651401,731.5159,1939.54
2025-09-09,META,SELL,2.565484,755.3373,1937.81
2025-09-09,TSLA,BUY,1.94068,348.6142,676.55
2025-09-09,UNH,BUY,8.097136,325.8397,2638.37
2025-09-09,WMT,SELL,49.532518,101.5332,5029.2
2025-09-23,AMZN,BUY,10.019069,227.9439,2283.79
2025-09-23,AVGO,BUY,10.979918,339.0488,3722.73
2025-09-23,BRK-B,SELL,1.373155,493.5231,677.68
2025-09-23,GOOGL,BUY,12.259759,252.8231,3099.55
2025-09-23,HD,SELL,10.108938,406.4305,4108.58
2025-09-23,JPM,SELL,9.222775,307.1913,2833.16
2025-09-23,NVDA,BUY,10.716532,182.041,1950.85
2025-09-23,ORCL,BUY,9.352128,321.624,3007.87
2025-09-23,TSLA,SELL,1.94068,439.6601,853.24
2025-09-23,UNH,SELL,16.397343,335.9415,5508.55
2025-10-07,AMZN,SELL,10.019069,220.7696,2211.91
2025-10-07,AVGO,SELL,10.979918,335.5143,3683.92
2025-10-07,GOOGL,SELL,12.259759,247.8092,3038.08
2025-10-07,META,BUY,2.662628,716.8799,1908.78
2025-10-07,NVDA,SELL,10.716532,186.1165,1994.52
2025-10-07,ORCL,BUY,8.336424,291.0697,2426.48
2025-10-07,TSLA,BUY,2.512585,448.0439,1125.75
2025-10-07,V,BUY,9.521616,348.8234,3321.36
2025-10-07,XOM,BUY,19.018398,112.3884,2137.45
2025-10-21,AAPL,BUY,16.243719,261.5125,4247.94
2025-10-21,LLY,BUY,1.597119,804.8063,1285.37
2025-10-21,META,SELL,2.662628,734.4237,1955.5
2025-10-21,ORCL,BUY,1.589805,276.5496,439.66
2025-10-21,TSLA,SELL,0.582055,445.5371,259.33
2025-10-21,V,SELL,4.826473,341.5661,1648.56
2025-10-21,XOM,SELL,19.018398,111.1146,2113.22
2025-11-04,AAPL,SELL,16.243719,267.6856,4348.21
2025-11-04,LLY,SELL,1.597119,888.1753,1418.52
2025-11-04,META,BUY,8.267497,627.3048,5186.24
2025-11-04,MSFT,BUY,3.372499,509.8956,1719.62
2025-11-04,ORCL,SELL,14.976273,248.329,3719.04
2025-11-04,TSLA,SELL,1.93053,454.2328,876.91
2025-11-04,V,BUY,1.390721,335.2913,466.3
2025-11-04,WMT,BUY,29.499467,101.7643,3001.99
2025-11-18,AMZN,BUY,15.306656,228.2141,3493.19
2025-11-18,BRK-B,BUY,5.411984,503.6417,2725.7
2025-11-18,GOOGL,BUY,8.954469,287.6732,2575.96
2025-11-18,JPM,BUY,2.099287,296.7853,623.04
2025-11-18,META,SELL,8.267497,590.3169,4880.44
2025-11-18,MSFT,SELL,3.372499,493.072,1662.88
2025-11-18,ORCL,SELL,4.302084,214.782,924.01
2025-11-18,V,SELL,6.085864,323.6703,1969.81
2025-11-18,WMT,SELL,29.499467,102.5087,3023.95
2025-11-18,XOM,BUY,26.109572,116.5418,3042.86
