start,end,n_days,FX_Sharpe,FX_Total_Return,FX_Ann_Return,FX_Max_Drawdown,FS_Sharpe,FS_Total_Return,FS_Ann_Return,FS_Max_Drawdown,FS_Stops,SPY_Sharpe,SPY_Total_Return,FX_beats_spy,FS_beats_spy,FS_beats_FX
2024-12-02,2025-12-02,251,1.2731,0.2651,0.2675,-0.1428,2.445,0.2848,0.2874,-0.1006,64,0.73,0.1428,True,True,True
2024-12-09,2025-12-09,251,1.3563,0.2651,0.2675,-0.0971,2.041,0.2723,0.2747,-0.0783,74,0.7012,0.1374,True,True,True
2024-12-16,2025-12-16,251,1.0582,0.2245,0.2264,-0.1428,1.7326,0.1978,0.1995,-0.1006,64,0.6996,0.1372,True,True,True
2024-12-23,2025-12-23,251,1.4661,0.296,0.2987,-0.0971,2.242,0.3068,0.3096,-0.0783,71,0.9141,0.1774,True,True,True
2024-12-31,2025-12-31,251,1.4604,0.3004,0.3031,-0.1428,1.7007,0.1878,0.1894,-0.1088,63,0.8945,0.1729,True,True,True
2025-01-08,2026-01-08,251,1.5947,0.3133,0.3161,-0.0971,1.9841,0.2644,0.2668,-0.0784,71,0.9611,0.1851,True,True,True
2025-01-16,2026-01-16,252,1.138,0.2329,0.234,-0.1463,1.6225,0.1858,0.1866,-0.131,65,0.941,0.1805,True,True,True
2025-01-24,2026-01-24,251,1.4289,0.278,0.2805,-0.0979,2.2719,0.3055,0.3083,-0.0797,69,0.7467,0.1436,True,True,True
2025-01-31,2026-01-31,251,0.9937,0.2055,0.2073,-0.1601,1.3993,0.1634,0.1648,-0.1408,66,0.82,0.1571,True,True,True
2025-02-07,2026-02-07,251,1.7355,0.3369,0.34,-0.0984,2.7112,0.3682,0.3716,-0.0798,69,0.7901,0.1524,True,True,True
2025-02-14,2026-02-14,251,0.4403,0.0923,0.0931,-0.1861,0.5365,0.0603,0.0608,-0.1473,68,0.68,0.1312,False,False,True
2025-02-24,2026-02-24,252,1.6967,0.3287,0.3302,-0.0968,2.4374,0.3307,0.3323,-0.0777,70,0.824,0.1592,True,True,True
