Strategy,vol_k,trailing,Sharpe,Sortino,TotalReturn,MaxDD,AnnVol,Calmar,CVaR5,PerStockStops,Trades
Baseline (no stops),,,1.3214,1.7313,0.2736,-0.1427,0.2108,1.9521,-0.02886,0,198
"k=4.0, trail",4.0,True,1.3214,1.7313,0.2736,-0.1427,0.2108,1.9521,-0.02886,0,198
"k=4.0, fixed",4.0,False,1.3214,1.7313,0.2736,-0.1427,0.2108,1.9521,-0.02886,0,198
"k=2.0, trail",2.0,True,1.2983,1.6964,0.2347,-0.1427,0.184,1.6736,-0.0266,5,202
"k=2.0, fixed",2.0,False,1.2832,1.6723,0.2324,-0.1427,0.1843,1.6574,-0.02671,5,202
"k=2.5, trail",2.5,True,1.1435,1.4523,0.2123,-0.1427,0.189,1.5138,-0.02776,4,202
"k=2.5, fixed",2.5,False,1.1288,1.4299,0.2101,-0.1427,0.1894,1.4981,-0.02786,4,202
"k=3.0, trail",3.0,True,1.0758,1.358,0.2034,-0.1427,0.1924,1.4501,-0.02829,3,201
"k=3.5, trail",3.5,True,1.0681,1.3658,0.2044,-0.1427,0.1948,1.4576,-0.02829,2,200
"k=3.5, fixed",3.5,False,1.0671,1.3646,0.2042,-0.1427,0.1948,1.4563,-0.02829,2,200
"k=3.0, fixed",3.0,False,1.0664,1.349,0.2017,-0.1427,0.1924,1.4379,-0.02829,3,201
