Stock,Shares,Price,Value,Allocation (%)
AAPL,4,270.3699951171875,1081.47998046875,9.138764822912103
MSFT,2,517.8099975585938,1035.6199951171875,8.751236964348811
NVDA,6,202.49000549316406,1214.9400329589844,10.266534226866408
GOOGL,5,281.19000244140625,1405.9500122070312,11.880614293721296
META,1,648.3499755859375,648.3499755859375,5.478712557631015
JNJ,6,188.8699951171875,1133.219970703125,9.575980130852225
UNH,4,341.55999755859375,1366.239990234375,11.545055098475272
PFE,45,24.649999618530273,1109.2499828338623,9.3734279931323
ABBV,5,218.0399932861328,1090.199966430664,9.212450792513211
LLY,1,862.8599853515625,862.8599853515625,7.291373510040825
CASH,1,885.8742561340332,885.8742561340332,7.485849609506536
