Date,Stock,Action,Shares,Price,Cost,Cash_After
2025-07-29,WFC,BUY,11,82.16729736328125,903.8402709960938,9096.159729003906
2025-07-29,META,BUY,1,699.52783203125,699.52783203125,8396.631896972656
2025-07-29,ABBV,BUY,5,189.85134887695312,949.2567443847656,7447.375152587891
2025-07-29,BAC,BUY,19,47.68476867675781,906.0106048583984,6541.364547729492
2025-07-29,JPM,BUY,3,295.6028747558594,886.8086242675781,5654.555923461914
2025-07-29,AMZN,BUY,4,231.00999450683594,924.0399780273438,4730.51594543457
2025-07-29,GOOGL,BUY,4,195.5750732421875,782.30029296875,3948.2156524658203
2025-07-29,GS,BUY,1,728.0824584960938,728.0824584960938,3220.1331939697266
2025-07-29,LLY,BUY,1,761.2779541015625,761.2779541015625,2458.855239868164
2025-07-29,MS,BUY,6,141.70681762695312,850.2409057617188,1608.6143341064453
2025-08-05,MS,SELL,6,139.61007690429688,837.6604614257812,2446.2747955322266
2025-08-05,WFC,BUY,1,77.50468444824219,77.50468444824219,2368.7701110839844
2025-08-05,BAC,BUY,1,45.30799102783203,45.30799102783203,2323.4621200561523
2025-08-05,JNJ,BUY,5,169.4958953857422,847.4794769287109,1475.9826431274414
2025-08-19,GOOGL,SELL,4,201.389892578125,805.5595703125,2281.5422134399414
2025-08-19,MS,BUY,6,143.19822692871094,859.1893615722656,1422.3528518676758
2025-08-26,JPM,SELL,3,297.1254577636719,891.3763732910156,2313.7292251586914
2025-08-26,MCD,BUY,3,311.17340087890625,933.5202026367188,1380.2090225219727
2025-09-10,MCD,SELL,3,305.94000244140625,917.8200073242188,2298.0290298461914
2025-09-10,JPM,BUY,3,299.0859375,897.2578125,1400.7712173461914
2025-09-17,LLY,SELL,1,760.1300048828125,760.1300048828125,2160.901222229004
2025-09-17,GOOGL,BUY,4,249.52999877929688,998.1199951171875,1162.7812271118164
2025-10-01,GOOGL,SELL,4,244.89999389648438,979.5999755859375,2142.381202697754
2025-10-01,LLY,BUY,1,825.4199829101562,825.4199829101562,1316.9612197875977
2025-10-08,JPM,SELL,3,304.0299987792969,912.0899963378906,2229.0512161254883
2025-10-08,AAPL,BUY,3,258.05999755859375,774.1799926757812,1454.871223449707
2025-10-15,AAPL,SELL,3,249.33999633789062,748.0199890136719,2202.891212463379
2025-10-15,AMZN,SELL,4,215.57000732421875,862.280029296875,3065.171241760254
2025-10-15,MCD,BUY,3,305.25,915.75,2149.421241760254
2025-10-15,JPM,BUY,3,305.69000244140625,917.0700073242188,1232.3512344360352
2025-10-22,JPM,SELL,3,294.1099853515625,882.3299560546875,2114.6811904907227
2025-10-22,AAPL,BUY,3,258.45001220703125,775.3500366210938,1339.331153869629
2025-10-29,MCD,SELL,3,302.3500061035156,907.0500183105469,2246.381172180176
2025-10-29,AMZN,BUY,4,230.3000030517578,921.2000122070312,1325.1811599731445
